,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,▽派生並び主キー,,,派生段階,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,派生表通番,目的派生検索,NO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
,1,ボール,0,ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,ボールK型,1,ボール,ボールK型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,ボール改,"1,476",ボール,ボールK型,ボール改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,トロハチ,"7,426",ボール,ボールK型,ボール改,トロハチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,サンダーボルト仕様ボール,"5,027",ボール,ボールK型,サンダーボルト仕様ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,機雷散布ポッド装備仕様ボール,"4,081",ボール,ボールK型,機雷散布ポッド装備仕様ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,マ・クベ専用ボール,"2,766",ボール,ボールK型,マ・クベ専用ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,連邦宇宙輸送艇,"3,811",ボール,ボールK型,連邦宇宙輸送艇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,スーツキャリアー,467,ボール,ボールK型,連邦宇宙輸送艇,スーツキャリアー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,コロンブス,738,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,ヨーツンヘイム,"3,219",ボール,ボールK型,連邦宇宙輸送艇,コロンブス,ヨーツンヘイム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,フリーデン,"1,017",ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,フリーデンII,"1,018",ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,フリーデンII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,シーバルチャー艦,"3,692",ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,シーバルチャー艦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,ドリテア護衛艦,"3,704",ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,シーバルチャー艦,ドリテア護衛艦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,ドリテア,"3,705",ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,シーバルチャー艦,ドリテア護衛艦,ドリテア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
